canonical_name,document_type,folder_path,classification,player_title,gm_summary,source_pages
SHARED - Concept - The King in Yellow [GM],Journal,SHARED / 10 - Concepts,SHARED,,Campaign master concept for the play and infection pattern.,"IL pp. 24-29, 67"
SHARED - Concept - The Yellow Sign [GM],Journal,SHARED / 10 - Concepts,SHARED,,Campaign master symbol and effect reference.,IL pp. 347-349
SHARED - Concept - The Night World [GM],Journal,SHARED / 10 - Concepts,SHARED,,Campaign master concept for connected night-side places.,"IL pp. 24, 97-112"
SHARED - Location - The Bookshop [GM],Journal,SHARED / 20 - Recurring Places,SHARED,,Recurring EXEUNT location linked from Part One.,"IL pp. 67, 120-130"
SHARED - Location - Hotel Broadalbin [GM],Journal,SHARED / 20 - Recurring Places,SHARED,,Recurring hotel node foreshadowed in Part One.,"IL pp. 71-73, 97-104"
SHARED - NPC - Mark Roark [GM],Journal,SHARED / 30 - Recurring Cast,SHARED,,Recurring Night World resident and crooked guide.,IL pp. 97-100
SHARED - Entity - The Dog [GM],Actor,SHARED / 40 - Entities & Threats / 10 - Recurring Creatures,SHARED,,Named recurring creature tied to the building’s deeper history.,"IL pp. 100-101, 117"
SHARED - Tome - The King in Yellow [GM],Item,SHARED / 50 - Artifacts / Tomes / Rituals,SHARED,,Shared master for the accursed play.,"IL pp. 24-29, 55, 348-349"
SHARED - Tome - A World Without Doors [GM],Item,SHARED / 50 - Artifacts / Tomes / Rituals,SHARED,,Shared recurring tome found on Vanfitz’s shelves.,IL p. 92
OP1 - Event - Operation ALICE [GM],Journal,OP1 - The Night Floors / 10 - Briefing / Framing,OP1,,Truth about Abigail; DG trigger; why this is not a normal missing-person case.,IL pp. 67-69
OP1 - Event - Abigail Wright Disappearance [GM],Journal,OP1 - The Night Floors / 10 - Briefing / Framing,OP1,,What actually happened to Wright.,"IL pp. 66-67, 54-56"
OP1 - Event - David Langford Vanishing [GM],Journal,OP1 - The Night Floors / 50 - Events / Encounters,OP1,,He crossed at the day/night threshold and survived in the Night Floors.,"IL pp. 54-56, 100-101"
OP1 - Event - Going-Away Party [GM],Journal,OP1 - The Night Floors / 50 - Events / Encounters,OP1,,Smoking Lounge / fourth-floor impossibility / “moved on” meaning.,"IL pp. 85-86, 97-99"
OP1 - Event - Resolution of The Night Floors [GM],Journal,OP1 - The Night Floors / 90 - Resolution / Exeunt,OP1,,Abigail cannot be recovered here; local fix vs real solution; OP2 bridge.,IL pp. 112-114
OP1 - NPC - Abigail Wright [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 20 - Wright Case,OP1,,"Abigail bought a copy of The King in Yellow in February 1995, shared it with the other tenants, discovered the Night Floors in early May, and used them to build her shrine. In the truth of Part One, she is lost to the Night World and has moved toward Carcosa. She cannot be recovered during this operation.","IL pp. 54-56, 66-67, 74, 112-113"
OP1 - NPC - Thomas Wright [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 20 - Wright Case,OP1,,"Thomas’s recollections anchor several important facts: Abigail found the Red Book while shopping with him, her mother Ellen died warning him that “He’s coming for my baby,” and Thomas himself found the shrine on 4 JUN 1995. He is emotionally credible, but the truth he carries is larger than he can understand.","IL pp. 54-56, 83-84"
OP1 - NPC - Dr. Marvin Bloom [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 10 - Delta Green & Law,OP1,,Bloom is part of the newer Delta Green culture of the 1990s. He is not the occult revelation of this chapter; he is the operational spine that gets the Agents into the building and gives them a way to interpret early danger.,"IL pp. 67-69, 114"
OP1 - NPC - Graham Giuradanda [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 10 - Delta Green & Law,OP1,,"Giuradanda is one of the safest and strongest allies in Part One. He is grounded, competent, religious, and potentially replacement-Agent material if the table needs him.","IL pp. 74, 116-117"
