canonical_name,found_at,discovery_method,points_to,mandatory_optional_reinforcing,standalone_or_embedded,linked_npcs,linked_locations,handout_yes_no,source_pages
Operation ALICE briefing,Marcus / Bloom’s briefing,Automatic opening brief,Abigail Wright case; Wright apartment; occult angle,Mandatory,Embedded,Dr. Marvin Bloom; Abigail Wright,Operation frame; Macallistar Building,No,IL pp. 67-69
Abigail bought the Red Book,Backstory / Thomas Wright recollection / timeline,Research or later synthesis,The Bookshop; the play as root cause,Mandatory,Embedded,Abigail Wright; Thomas Wright,Abigail Wright Disappearance; Bookshop,No,"IL pp. 54-56, 67"
Tenants stopped leaving the building,External canvassing / timeline,Ask local businesses or review timeline,Building-wide corruption; pushes Agents to canvass tenants,Mandatory,Embedded,Thomas Manuel; Roger Carun; Michelle Vanfitz; Louis Post,Macallistar Building,No,"IL pp. 54-56, 86-87"
Utilities are shut off but still work,Utility checks / tenant investigation,Research bills and services,The building itself is impossible; reinforces supernatural reality,Reinforcing,Embedded,,Macallistar Building,No,IL pp. 86-87
Carun made the last outgoing call,Phone-record research / timeline,Check records or tenant behavior,Carmen Wagner; Carun clue path,Mandatory,Embedded,Roger Carun; Carmen Wagner,Macallistar Building; Roger Carun’s Apartment,No,"IL pp. 54-56, 86-87"
David Langford vanished in the building,Timeline / Langford report / later encounter,Research case timeline; speak to Ian Langford; reach the Night Floors,The building actively takes people; top-floor stair landing,Mandatory,Standalone Journal,David Langford,Top-Floor Stair Landing / Roof Door; The Night Floors,No,"IL pp. 54-56, 100-101"
Wright’s shrine-wall,Abigail Wright’s apartment,Automatic on entry,The case is unnatural; reveals multiple sub-clues,Mandatory,Standalone Journal,Abigail Wright; Thomas Wright; Graham Giuradanda,Abigail Wright’s Apartment and Shrine,Yes,IL pp. 74-82
Macallistar Map,Abigail Wright’s apartment shrine,Search / evidence cataloging,Night Floors access points; Mr. Castaigne; “The Parlor”; closets as portals,Mandatory,Standalone Journal,Abigail Wright,Abigail Wright’s Apartment and Shrine; Macallistar Building; The Night Floors,Yes,IL p. 78
Mysterious Play pages,Abigail Wright’s apartment shrine; later Manuel stash,Search; usually no more than one page per day in Wright’s apartment,"The building’s cast are characters; introduces Roark, Castaigne, Encyclopedia Salesman, Dog",Mandatory,Standalone Journal,Abigail Wright; Thomas Manuel; Mark Roark; Henri de Calvados Castaigne; Encyclopedia Salesman,Abigail Wright’s Apartment and Shrine; Thomas Manuel’s Apartment; The Night Floors,Yes,"IL pp. 55, 79"
The Receipt for apartment 10B,Abigail Wright’s apartment shrine,Search / evidence processing,There is a tenant relationship to a room that should be empty; points to hidden occupancy / impossible tenancy,Optional,Standalone Journal,Abigail Wright,Abigail Wright’s Apartment and Shrine,Yes,IL p. 80
