canonical_name,handout_type,source_context,player_visible_text,linked_document,asset_filename,source_pages
OP1 - Handout - Abigail Wright Shrine - Evidence Photos [Player],Evidence packet,Abigail Wright’s Apartment and Shrine,Visible evidence only.,OP1 - Location - Abigail Wright’s Apartment and Shrine [GM],,IL pp. 74-82
OP1 - Handout - Macallistar Map [Player],Map,Abigail Wright’s Apartment and Shrine,Map as the players receive it.,OP1 - Location - Abigail Wright’s Apartment and Shrine [GM]; OP1 - Location - Macallistar Building [GM]; OP1 - Location - The Night Floors [GM],,IL p. 78
OP1 - Handout - The Mysterious Play - First Page [Player],Document page,Abigail Wright’s Apartment and Shrine,The page exactly as found.,OP1 - Location - Abigail Wright’s Apartment and Shrine [GM]; OP1 - NPC - Roger Carun [GM]; OP1 - NPC - Thomas Manuel [GM]; OP1 - Location - The Night Floors [GM],,"IL pp. 55, 79"
OP1 - Handout - Abigail Wright Receipt [Player],Receipt,Abigail Wright’s Apartment and Shrine,Receipt exactly as found.,OP1 - Location - Abigail Wright’s Apartment and Shrine [GM],,IL p. 80
OP1 - Handout - Abigail Wright Sheet Music [Player],Sheet music,Abigail Wright’s Apartment and Shrine,Sheet music exactly as found.,OP1 - Location - Abigail Wright’s Apartment and Shrine [GM],,IL p. 80
OP1 - Handout - Abigail Wright Seal [Player],Symbol,Abigail Wright’s Apartment and Shrine,The symbol as found in the debris.,OP1 - Location - Abigail Wright’s Apartment and Shrine [GM]; OP1 - Event - Operation ALICE [GM],,"IL pp. 67-68, 80"
OP1 - Handout - Thomas Manuel - Ambrose Locket [Player],Object photo,Thomas Manuel’s Apartment,Recovered locket.,OP1 - Location - Thomas Manuel’s Apartment [GM]; OP1 - NPC - Thomas Manuel [GM],,IL p. 87
OP1 - Handout - Thomas Manuel - Tape Rig [Player],Object photo,Thomas Manuel’s Apartment,Recorder and wire setup.,OP1 - Location - Thomas Manuel’s Apartment [GM]; OP1 - NPC - Thomas Manuel [GM]; OP1 - Location - Abigail Wright’s Apartment and Shrine [GM],,IL p. 87
OP1 - Handout - Carmen Wagner - Answering Machine Message [Player],Transcript,Carmen Wagner interview,Transcript of Carun’s 19 APR message.,OP1 - NPC - Carmen Wagner [GM]; OP1 - NPC - Roger Carun [GM],,"IL pp. 89-91, 90"
OP1 - Handout - Roger Carun - Word Processor Message [Player],Decoded text,Roger Carun’s Apartment,Message recovered from the word processor.,OP1 - Location - Roger Carun’s Apartment [GM]; OP1 - NPC - Roger Carun [GM],,IL pp. 90-91
OP1 - Handout - Daribondi - Broadalbin Photograph [Player],Photograph,Wright apartment clue cluster / Daribondi research,Research photo / image only.,OP1 - Location - Abigail Wright’s Apartment and Shrine [GM]; SHARED - Location - Hotel Broadalbin [GM],,IL pp. 71-73
OP1 - Handout - Lundine Family - Abraham Photograph [Player],Photograph,Night Floors / Dog thread,Old family photograph.,SHARED - Entity - The Dog [GM]; OP1 - Location - Macallistar Building [GM],,"IL pp. 100-101, 117"
